{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 90, 'tradetime': '06.03.2023 13:30:10'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 20, 'tradetime': '06.03.2023 13:30:14'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 361, 'tradetime': '06.03.2023 13:30:18'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:30:22'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 3, 'tradetime': '06.03.2023 13:30:32'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:30:37'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:30:44'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 20, 'tradetime': '06.03.2023 13:30:44'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:30:58'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 10, 'tradetime': '06.03.2023 13:31:00'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:31:08'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:31:23'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 36, 'tradetime': '06.03.2023 13:31:25'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:31:25'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 20, 'tradetime': '06.03.2023 13:31:26'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:31:31'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 10, 'tradetime': '06.03.2023 13:31:32'}
{'seccode': 'YNDX', 'price': 1971.2, 'quantity': 3, 'tradetime': '06.03.2023 13:31:44'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 11, 'tradetime': '06.03.2023 13:31:45'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 25, 'tradetime': '06.03.2023 13:31:51'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 3, 'tradetime': '06.03.2023 13:32:04'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 17, 'tradetime': '06.03.2023 13:32:06'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:32:10'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 70, 'tradetime': '06.03.2023 13:32:12'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 20, 'tradetime': '06.03.2023 13:32:14'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:32:15'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:32:17'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:32:20'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 4, 'tradetime': '06.03.2023 13:32:22'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 100, 'tradetime': '06.03.2023 13:32:22'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 10, 'tradetime': '06.03.2023 13:32:22'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:32:23'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:32:32'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 1, 'tradetime': '06.03.2023 13:32:39'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 33, 'tradetime': '06.03.2023 13:32:40'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 3, 'tradetime': '06.03.2023 13:32:41'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 56, 'tradetime': '06.03.2023 13:32:43'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 1, 'tradetime': '06.03.2023 13:32:44'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 1, 'tradetime': '06.03.2023 13:32:44'}
{'seccode': 'YNDX', 'price': 1971.8, 'quantity': 33, 'tradetime': '06.03.2023 13:32:55'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 12, 'tradetime': '06.03.2023 13:32:59'}
{'seccode': 'YNDX', 'price': 1971.6, 'quantity': 1, 'tradetime': '06.03.2023 13:33:05'}
{'seccode': 'YNDX', 'price': 1971.4, 'quantity': 1, 'tradetime': '06.03.2023 13:33:05'}
{'seccode': 'YNDX', 'price': 1971.4, 'quantity': 1, 'tradetime': '06.03.2023 13:33:14'}
{'seccode': 'YNDX', 'price': 1971.4, 'quantity': 21, 'tradetime': '06.03.2023 13:33:19'}
{'seccode': 'YNDX', 'price': 1971.2, 'quantity': 1, 'tradetime': '06.03.2023 13:33:21'}
{'seccode': 'YNDX', 'price': 1971.4, 'quantity': 10, 'tradetime': '06.03.2023 13:33:21'}
{'seccode': 'YNDX', 'price': 1971.4, 'quantity': 2, 'tradetime': '06.03.2023 13:33:24'}
